Ad Name,Ad Set,Campaign,Reporting Starts,Reporting Ends,Impressions,Link Clicks,Amount Spent (USD),3-Second Video Views,Video Watches at 100%,Video Watches at 50%
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,441,1,4.57,21,4,14
Chocolate Pen,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,169,0,2.93,5,0,1
Chocolate Pen - Walmart,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,433,0,7.52,15,2,6
Chocolate Pen - Amazon,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3868,5,63.25,127,26,83
Chocolate Pen - Target,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1252,2,22.82,43,10,28
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,899,1,15.83,44,19,32
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,5286,5,59.58,208,62,151
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,10785,17,30.51,600,169,459
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3095,2,30.01,112,26,72
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,204,1,0.37,4,1,2
